"Object","Close-Approach (CA) Date","CA DistanceNominal (au)","CA DistanceMinimum (au)","V relative(km/s)","V infinity(km/s)","H(mag)","Diameter","Rarity"
"(2023 UR7)","2023-Oct-18 22:19 ± < 00:01","0.02111","0.02101","7.71","7.69","26.5","13 m -   30 m","0"
"(2022 UO10)","2023-Oct-19 00:38 ±    02:42","0.01984","0.01776","9.77","9.75","26.8","12 m -   26 m","0"
"(2023 UJ9)","2023-Oct-19 02:02 ± < 00:01","0.00495","0.00492","14.87","14.84","27.7","7.6 m -   17 m","0"
"(2023 TH4)","2023-Oct-19 02:30 ± < 00:01","0.01417","0.01413","5.41","5.38","27.0","10 m -   23 m","0"
"(2023 US6)","2023-Oct-19 02:38 ±    00:14","0.00896","0.00892","15.37","15.35","27.2","9.6 m -   21 m","0"
"(2023 TM14)","2023-Oct-19 07:07 ± < 00:01","0.02114","0.02109","6.96","6.95","26.7","12 m -   28 m","0"
"(2023 TY19)","2023-Oct-19 09:36 ±    00:01","0.03738","0.03686","9.19","9.19","26.5","14 m -   30 m","0"
"(2023 TP7)","2023-Oct-19 11:13 ± < 00:01","0.02052","0.02041","11.66","11.65","25.6","20 m -   46 m","0"
"(2023 UT8)","2023-Oct-19 13:18 ±    01:15","0.02817","0.02756","6.52","6.50","27.4","8.8 m -   20 m","0"
"(2023 UP)","2023-Oct-19 17:29 ± < 00:01","0.00681","0.00679","14.17","14.15","27.9","7.0 m -   16 m","0"
"(2023 UW4)","2023-Oct-19 17:58 ± < 00:01","0.00376","0.00375","10.89","10.83","28.1","6.4 m -   14 m","0"
"(2023 UM4)","2023-Oct-19 22:35 ±    00:05","0.01508","0.01495","9.63","9.61","26.4","14 m -   32 m","0"
"(2023 UW1)","2023-Oct-19 23:46 ± < 00:01","0.00533","0.00532","7.40","7.33","26.9","11 m -   25 m","0"
"(2023 UH13)","2023-Oct-20 01:29 ±    00:01","0.03567","0.03525","16.39","16.39","25.9","18 m -   39 m","0"
"(2020 UR)","2023-Oct-20 03:58 ± 5_17:43","0.01491","0.00911","12.91","12.90","27.9","7.0 m -   16 m","0"
"(2023 UR10)","2023-Oct-20 04:24 ±    00:32","0.00009","0.00009","12.21","9.58","30.0","2.7 m -  6.1 m","1"
"(2023 TK15)","2023-Oct-20 07:16 ± < 00:01","0.00254","0.00254","21.95","21.90","25.9","18 m -   39 m","1"
"(2023 UH)","2023-Oct-20 09:16 ± < 00:01","0.01731","0.01724","11.09","11.08","26.1","16 m -   35 m","0"
"(2023 VB1)","2023-Oct-20 23:03 ±    00:05","0.03852","0.03823","7.23","7.22","25.7","19 m -   43 m","0"
"(2023 UD4)","2023-Oct-21 00:45 ± < 00:01","0.00339","0.00338","4.26","4.07","28.0","6.6 m -   15 m","0"
"(2023 UV1)","2023-Oct-21 01:13 ± < 00:01","0.00730","0.00729","9.69","9.65","26.6","13 m -   28 m","0"
"(2023 UR1)","2023-Oct-21 01:17 ± < 00:01","0.00558","0.00558","8.22","8.16","24.7","31 m -   69 m","1"
"(2023 UE6)","2023-Oct-21 03:28 ±    00:02","0.01404","0.01394","7.35","7.33","27.6","7.9 m -   18 m","0"
"(2023 UQ6)","2023-Oct-21 04:17 ±    00:01","0.03133","0.03117","18.01","18.00","25.4","22 m -   50 m","0"
"(2023 UW)","2023-Oct-21 05:10 ± < 00:01","0.01077","0.01075","5.95","5.91","28.0","6.8 m -   15 m","0"
"(2023 UN)","2023-Oct-21 09:38 ± < 00:01","0.00338","0.00338","11.24","11.16","26.1","16 m -   36 m","1"
"(2023 UG3)","2023-Oct-21 10:08 ± < 00:01","0.01176","0.01172","12.13","12.11","26.3","14 m -   32 m","0"
"(2023 UL2)","2023-Oct-21 14:51 ± < 00:01","0.03748","0.03736","15.74","15.74","24.3","37 m -   82 m","0"
"(2023 UH1)","2023-Oct-21 16:14 ± < 00:01","0.02522","0.02517","5.06","5.04","27.1","10 m -   23 m","0"
"(2023 UE3)","2023-Oct-21 19:31 ± < 00:01","0.00634","0.00633","4.69","4.60","28.6","5.1 m -   11 m","0"
"(2023 UP2)","2023-Oct-21 23:22 ± < 00:01","0.00944","0.00937","8.74","8.71","26.7","12 m -   27 m","0"
"(2023 UG1)","2023-Oct-22 05:10 ± < 00:01","0.01126","0.01125","2.87","2.78","27.5","8.3 m -   19 m","0"
"(2023 TW4)","2023-Oct-22 05:50 ± < 00:01","0.01632","0.01626","10.54","10.52","25.6","20 m -   44 m","0"
"(2023 TX2)","2023-Oct-22 12:53 ± < 00:01","0.03389","0.03380","7.51","7.50","25.5","22 m -   48 m","0"
"(2023 TW26)","2023-Oct-22 13:30 ± < 00:01","0.00600","0.00599","5.63","5.55","28.6","5.1 m -   11 m","0"
"(2023 UZ)","2023-Oct-22 15:56 ± < 00:01","0.00629","0.00629","13.13","13.09","27.3","9.4 m -   21 m","0"
"(2023 TP16)","2023-Oct-23 06:18 ±    00:04","0.00969","0.00968","1.50","1.30","29.8","2.9 m -  6.6 m","0"
"(2023 TV4)","2023-Oct-23 07:51 ± < 00:01","0.01296","0.01294","5.00","4.96","25.8","19 m -   42 m","0"
"(2023 VP)","2023-Oct-23 08:07 ±    00:05","0.03910","0.03870","12.52","12.51","24.6","33 m -   73 m","0"
"(2020 FM6)","2023-Oct-23 09:57 ± < 00:01","0.04302","0.04302","15.77","15.76","21.9","110 m -  240 m","1"
"(2023 UU4)","2023-Oct-23 11:09 ± < 00:01","0.01380","0.01372","16.08","16.07","25.8","18 m -   41 m","0"
"(2023 UU6)","2023-Oct-23 12:10 ±    00:09","0.03290","0.03255","11.41","11.40","26.9","11 m -   25 m","0"
"(2023 TC6)","2023-Oct-23 13:06 ± < 00:01","0.03421","0.03387","8.45","8.44","25.0","27 m -   60 m","0"
"(2023 VC1)","2023-Oct-23 15:41 ±    00:02","0.01855","0.01848","4.36","4.33","26.4","14 m -   32 m","0"
"(2023 UN10)","2023-Oct-23 18:43 ± < 00:01","0.03894","0.03876","10.81","10.81","24.2","38 m -   85 m","0"
"(2023 VR1)","2023-Oct-23 19:31 ±    00:06","0.02854","0.02826","9.21","9.20","25.8","18 m -   41 m","0"
"(2023 UK3)","2023-Oct-23 19:47 ± < 00:01","0.00558","0.00557","8.67","8.61","29.2","3.8 m -  8.6 m","0"
"(2023 VM)","2023-Oct-23 23:44 ±    00:04","0.03860","0.03800","20.99","20.99","23.9","45 m -  100 m","0"
"(2023 TX8)","2023-Oct-24 02:02 ± < 00:01","0.00852","0.00852","5.60","5.54","26.6","13 m -   29 m","0"
"(2023 VY)","2023-Oct-24 06:33 ±    00:05","0.04373","0.04306","10.88","10.88","25.3","23 m -   52 m","0"
"(2023 VB)","2023-Oct-24 07:10 ±    00:02","0.01830","0.01822","12.14","12.13","25.2","24 m -   53 m","0"
"(2019 HH4)","2023-Oct-24 10:46 ± < 00:01","0.03396","0.03396","20.02","20.01","19.8","290 m -  650 m","1"
"(2023 UO3)","2023-Oct-24 11:14 ± < 00:01","0.01740","0.01733","8.88","8.86","25.8","19 m -   41 m","0"
"(2023 UN7)","2023-Oct-24 16:52 ± < 00:01","0.03929","0.03916","14.12","14.12","24.1","41 m -   91 m","0"
"(2023 TE6)","2023-Oct-24 17:28 ± < 00:01","0.04353","0.04340","4.16","4.15","26.4","14 m -   31 m","0"
"(2023 RA4)","2023-Oct-24 18:42 ± < 00:01","0.02157","0.02157","3.93","3.90","24.6","31 m -   70 m","0"
"(2023 UH5)","2023-Oct-24 20:22 ± < 00:01","0.01847","0.01844","10.31","10.30","25.2","24 m -   54 m","0"
"(2023 VY2)","2023-Oct-25 00:27 ±    00:16","0.03961","0.03933","5.93","5.92","26.9","11 m -   25 m","0"
"(2023 UJ3)","2023-Oct-25 00:49 ±    00:54","0.04537","0.04517","4.19","4.17","27.2","9.7 m -   22 m","0"
"(2023 UF6)","2023-Oct-25 03:28 ± < 00:01","0.02059","0.02051","15.34","15.33","25.9","18 m -   39 m","0"
"(2023 UR6)","2023-Oct-25 09:17 ± < 00:01","0.01238","0.01231","18.39","18.38","26.5","13 m -   30 m","0"
"(2023 VT)","2023-Oct-25 14:06 ±    00:15","0.02198","0.02190","9.54","9.53","26.3","14 m -   32 m","0"
"(2023 SO11)","2023-Oct-25 14:44 ± < 00:01","0.00854","0.00854","2.50","2.37","26.7","12 m -   27 m","0"
"(2023 TG14)","2023-Oct-26 01:03 ± < 00:01","0.01062","0.01061","6.71","6.67","25.8","18 m -   40 m","0"
"(2023 UJ2)","2023-Oct-26 04:03 ±    00:04","0.03033","0.03020","3.25","3.22","24.4","36 m -   80 m","0"
"(2023 TR7)","2023-Oct-26 04:10 ± < 00:01","0.04953","0.04911","11.36","11.36","25.3","23 m -   51 m","0"
"(2021 SZ4)","2023-Oct-26 05:28 ± < 00:01","0.03578","0.03578","29.97","29.97","20.5","210 m -  480 m","1"
"(2023 VD5)","2023-Oct-26 10:18 ± < 00:01","0.04422","0.04421","14.53","14.53","24.6","32 m -   71 m","0"
"(2023 VN2)","2023-Oct-26 21:18 ±    00:16","0.02859","0.02824","7.17","7.16","26.6","13 m -   28 m","0"
"302169 (2001 TD45)","2023-Oct-26 23:00 ± < 00:01","0.03258","0.03258","25.68","25.68","20.0","270 m -  590 m","1"
"(2023 VQ2)","2023-Oct-26 23:41 ±    00:14","0.00906","0.00899","9.13","9.10","26.4","14 m -   31 m","0"
"(2023 UO7)","2023-Oct-27 09:12 ± < 00:01","0.00276","0.00275","13.81","13.74","28.3","5.8 m -   13 m","0"
"(2023 UV6)","2023-Oct-27 11:16 ± < 00:01","0.02625","0.02615","7.31","7.30","26.4","14 m -   31 m","0"
"(2023 UK4)","2023-Oct-27 12:22 ± < 00:01","0.02994","0.02958","11.31","11.30","26.6","13 m -   29 m","0"
"(2023 VA1)","2023-Oct-27 16:43 ±    00:02","0.02088","0.02070","15.59","15.58","25.1","26 m -   57 m","0"
"(2023 VR2)","2023-Oct-28 10:08 ±    00:02","0.01946","0.01942","8.21","8.19","25.4","23 m -   51 m","0"
"(2020 VX)","2023-Oct-29 01:51 ± < 00:01","0.02605","0.02605","18.78","18.77","24.9","28 m -   62 m","0"
"(2023 VZ1)","2023-Oct-29 11:38 ±    00:02","0.00691","0.00689","2.51","2.35","27.9","7.2 m -   16 m","0"
"(2023 UA2)","2023-Oct-29 12:04 ± < 00:01","0.03301","0.03278","9.22","9.21","27.0","11 m -   24 m","0"
"(2023 VE8)","2023-Oct-29 20:37 ±    00:06","0.03155","0.03133","8.32","8.31","25.1","25 m -   55 m","0"
"(2023 VC3)","2023-Oct-30 04:38 ±    00:04","0.01611","0.01588","16.84","16.83","25.9","17 m -   38 m","0"
"525229 (2004 UU1)","2023-Oct-30 10:41 ± < 00:01","0.02725","0.02725","17.43","17.42","21.2","160 m -  350 m","1"
"(2023 VV)","2023-Oct-30 17:24 ± < 00:01","0.02938","0.02937","9.25","9.24","23.5","53 m -  120 m","0"
"(2023 VE2)","2023-Oct-30 18:39 ±    00:01","0.01510","0.01502","6.74","6.71","27.9","7.1 m -   16 m","0"
"(2023 VQ)","2023-Oct-30 23:39 ± < 00:01","0.02765","0.02749","11.59","11.58","26.3","14 m -   32 m","0"
"(2023 VB3)","2023-Oct-31 03:47 ± < 00:01","0.03917","0.03894","13.67","13.67","25.3","24 m -   53 m","0"
"(2023 VO2)","2023-Oct-31 09:40 ±    00:01","0.02536","0.02513","15.65","15.64","26.6","13 m -   28 m","0"
"(2023 TW6)","2023-Oct-31 15:05 ± < 00:01","0.04908","0.04905","24.45","24.44","23.0","67 m -  150 m","0"
"(2023 VS1)","2023-Oct-31 17:14 ± < 00:01","0.02991","0.02958","16.39","16.38","25.0","27 m -   60 m","0"
"(2023 VF2)","2023-Oct-31 19:41 ±    00:02","0.01984","0.01965","9.63","9.62","27.1","9.9 m -   22 m","0"
"(2023 VX3)","2023-Oct-31 23:29 ±    00:01","0.02869","0.02838","3.99","3.97","27.9","6.9 m -   15 m","0"
"(2023 VZ)","2023-Nov-01 03:57 ± < 00:01","0.00676","0.00673","19.58","19.56","27.0","11 m -   24 m","0"
"(2023 VK)","2023-Nov-01 04:27 ± < 00:01","0.02832","0.02815","13.96","13.96","25.8","19 m -   42 m","0"
"(2013 UV3)","2023-Nov-01 11:12 ± 8_20:54","0.03759","0.00144","15.43","15.43","26.8","12 m -   26 m","0"
"(2004 VZ14)","2023-Nov-01 13:49 ± < 00:01","0.00892","0.00892","15.01","14.99","25.0","26 m -   58 m","0"
"(2023 VP5)","2023-Nov-01 14:08 ±    00:05","0.02004","0.01995","2.78","2.73","28.2","6.1 m -   14 m","0"
"(2023 VX1)","2023-Nov-01 20:35 ± < 00:01","0.02613","0.02600","19.45","19.44","25.5","22 m -   48 m","0"
"(2023 VQ4)","2023-Nov-01 21:47 ± < 00:01","0.01859","0.01856","6.62","6.60","23.8","46 m -  100 m","1"
"(2023 UZ3)","2023-Nov-01 23:31 ± < 00:01","0.00690","0.00685","14.39","14.36","26.4","14 m -   31 m","0"
"(2023 VC2)","2023-Nov-02 04:36 ± < 00:01","0.01405","0.01400","5.00","4.97","27.0","11 m -   24 m","0"
"(2023 VA)","2023-Nov-02 05:37 ± < 00:01","0.00018","0.00018","11.30","9.90","28.6","5.1 m -   11 m","2"
"(2023 VG6)","2023-Nov-02 06:53 ±    00:09","0.02911","0.02846","8.41","8.40","27.2","9.5 m -   21 m","0"
"(2016 WY)","2023-Nov-02 10:58 ± 1_01:57","0.02325","0.01919","3.94","3.91","29.2","3.8 m -  8.6 m","0"
"(2023 VN3)","2023-Nov-02 15:27 ± < 00:01","0.03036","0.03032","6.18","6.16","25.0","26 m -   58 m","0"
"363505 (2003 UC20)","2023-Nov-02 15:49 ± < 00:01","0.03511","0.03511","7.97","7.96","18.5","1.876±0.037 km","2"
"(2023 UY3)","2023-Nov-02 16:26 ±    00:01","0.03598","0.03590","3.70","3.68","26.9","11 m -   25 m","0"
"(2023 VG)","2023-Nov-02 18:29 ± < 00:01","0.00076","0.00076","8.53","8.11","28.3","5.9 m -   13 m","1"
"(2022 JF)","2023-Nov-03 05:38 ±    11:03","0.03882","0.02367","17.15","17.15","24.8","30 m -   66 m","0"
"(2023 VL1)","2023-Nov-03 10:26 ± < 00:01","0.03092","0.03028","14.74","14.74","26.2","15 m -   34 m","0"
"(2023 VW1)","2023-Nov-03 14:37 ± < 00:01","0.00627","0.00626","13.83","13.80","24.7","31 m -   69 m","1"
"(2023 VJ)","2023-Nov-03 17:27 ± < 00:01","0.02483","0.02478","16.49","16.49","25.5","21 m -   47 m","0"
"(2023 QP8)","2023-Nov-03 17:59 ± < 00:01","0.04380","0.04380","8.84","8.83","21.6","130 m -  290 m","1"
"(2016 VW2)","2023-Nov-03 22:53 ± 7_08:46","0.02582","0.02448","8.10","8.09","26.3","15 m -   33 m","0"
"(2019 UH7)","2023-Nov-04 00:29 ± < 00:01","0.02546","0.02546","5.94","5.92","27.5","8.6 m -   19 m","0"
"(2023 VE1)","2023-Nov-04 00:36 ± < 00:01","0.00023","0.00023","6.46","4.31","30.2","2.4 m -  5.4 m","1"
"(2023 TL31)","2023-Nov-04 09:58 ± < 00:01","0.02084","0.02082","9.19","9.18","25.4","22 m -   48 m","0"
"(2023 VM3)","2023-Nov-04 12:05 ± < 00:01","0.02345","0.02323","12.14","12.13","26.8","11 m -   25 m","0"
"(2023 VT2)","2023-Nov-04 13:48 ± < 00:01","0.02839","0.02829","14.84","14.84","26.1","16 m -   35 m","0"
"(2023 VO1)","2023-Nov-04 20:19 ± < 00:01","0.00052","0.00052","16.36","16.05","29.6","3.2 m -  7.1 m","0"
"(2023 VD10)","2023-Nov-05 03:01 ±    00:02","0.04238","0.04207","6.62","6.61","26.7","12 m -   27 m","0"
"(2023 VU)","2023-Nov-05 12:48 ± < 00:01","0.00668","0.00666","14.37","14.34","26.2","15 m -   34 m","0"
"(2023 VD7)","2023-Nov-05 14:30 ± < 00:01","0.03760","0.03741","15.67","15.66","24.4","35 m -   79 m","0"
"(2023 VN5)","2023-Nov-05 16:04 ± < 00:01","0.00376","0.00374","13.84","13.79","27.8","7.2 m -   16 m","0"
"(2023 VZ4)","2023-Nov-05 20:48 ± < 00:01","0.04341","0.04283","23.95","23.95","24.7","30 m -   68 m","0"
"(2023 VE3)","2023-Nov-05 23:03 ± < 00:01","0.00299","0.00298","10.46","10.38","26.9","11 m -   24 m","0"
"(2023 UG4)","2023-Nov-06 02:46 ± < 00:01","0.01672","0.01670","3.52","3.47","26.4","14 m -   30 m","0"
"(2023 VG1)","2023-Nov-06 05:16 ± < 00:01","0.02030","0.02016","10.28","10.26","27.2","9.7 m -   22 m","0"
"(2023 VP8)","2023-Nov-06 10:05 ±    00:06","0.01646","0.01631","13.36","13.35","26.0","17 m -   38 m","0"
"(2023 TO15)","2023-Nov-06 10:05 ± < 00:01","0.03881","0.03878","11.19","11.19","24.3","37 m -   82 m","0"
"(2023 VF4)","2023-Nov-06 10:43 ± < 00:01","0.01996","0.01995","12.80","12.79","25.8","18 m -   41 m","0"
"(2023 VJ5)","2023-Nov-06 14:24 ± < 00:01","0.02759","0.02748","8.12","8.10","25.0","26 m -   58 m","0"
"(2023 VS4)","2023-Nov-06 14:45 ±    00:03","0.00548","0.00545","10.64","10.59","28.6","5.1 m -   11 m","0"
"(2023 VY4)","2023-Nov-06 15:59 ±    00:09","0.00707","0.00702","16.74","16.72","27.3","9.1 m -   20 m","0"
"(2023 VE)","2023-Nov-07 01:18 ± < 00:01","0.00790","0.00788","12.11","12.08","27.5","8.3 m -   19 m","0"
"(2023 VS)","2023-Nov-07 01:18 ± < 00:01","0.00246","0.00246","3.54","3.22","29.8","2.9 m -  6.4 m","0"
"(2023 VH2)","2023-Nov-07 02:11 ± < 00:01","0.04425","0.04408","14.31","14.31","25.5","22 m -   48 m","0"
"(2023 VB2)","2023-Nov-07 07:00 ± < 00:01","0.00022","0.00022","18.02","17.34","28.2","6.0 m -   13 m","2"
"(2023 VP3)","2023-Nov-07 08:57 ± < 00:01","0.00088","0.00088","6.64","6.17","29.5","3.4 m -  7.5 m","0"
"(2023 VK6)","2023-Nov-07 12:00 ± < 00:01","0.01467","0.01463","10.24","10.22","26.9","11 m -   25 m","0"
"(2023 VD2)","2023-Nov-07 12:53 ± < 00:01","0.00038","0.00038","8.11","7.18","30.1","2.6 m -  5.7 m","0"
"(2023 VZ3)","2023-Nov-07 19:45 ±    00:01","0.02842","0.02813","13.95","13.94","26.5","13 m -   29 m","0"
"(2023 VF6)","2023-Nov-07 22:26 ± < 00:01","0.01573","0.01569","5.60","5.56","27.2","9.8 m -   22 m","0"
"(2023 VR)","2023-Nov-07 22:51 ± < 00:01","0.00623","0.00623","11.82","11.78","27.7","7.5 m -   17 m","0"
"(2023 VC4)","2023-Nov-08 07:13 ± < 00:01","0.00257","0.00257","9.51","9.40","27.0","11 m -   24 m","1"
"(2023 VH9)","2023-Nov-08 07:23 ±    00:02","0.01761","0.01735","25.43","25.42","26.4","14 m -   31 m","0"
"(2023 TD14)","2023-Nov-08 08:20 ± < 00:01","0.02383","0.02378","6.28","6.26","25.8","18 m -   41 m","0"
"(2023 VO6)","2023-Nov-08 09:09 ± < 00:01","0.01526","0.01523","5.31","5.27","28.1","6.3 m -   14 m","0"
"(2023 VA7)","2023-Nov-08 09:25 ± < 00:01","0.00739","0.00738","6.83","6.78","27.2","9.8 m -   22 m","0"
"(2023 VD3)","2023-Nov-08 17:43 ± < 00:01","0.00328","0.00328","17.93","17.88","27.1","10 m -   23 m","0"
"(2023 WD1)","2023-Nov-08 18:30 ±    00:42","0.04401","0.04296","16.11","16.10","25.1","26 m -   58 m","0"
"(2023 VZ2)","2023-Nov-08 20:29 ± < 00:01","0.01442","0.01439","11.15","11.13","26.9","11 m -   25 m","0"
"(2023 VW)","2023-Nov-08 21:22 ± < 00:01","0.00437","0.00436","7.98","7.90","28.0","6.7 m -   15 m","0"
"(2023 VC)","2023-Nov-09 00:01 ± < 00:01","0.01605","0.01603","9.65","9.63","25.5","21 m -   47 m","0"
"(2023 VE6)","2023-Nov-09 05:18 ± < 00:01","0.00497","0.00496","9.12","9.06","27.2","9.8 m -   22 m","0"
"(2018 VN7)","2023-Nov-09 06:19 ± < 00:01","0.00823","0.00823","13.17","13.15","25.3","23 m -   52 m","0"
"(2023 VN1)","2023-Nov-09 09:55 ±    00:09","0.03697","0.03664","7.56","7.55","27.1","10.0 m -   22 m","0"
"(2023 WK)","2023-Nov-09 20:02 ± < 00:01","0.04655","0.04633","17.47","17.46","24.8","29 m -   66 m","0"
"(2023 VU2)","2023-Nov-10 01:34 ± < 00:01","0.00486","0.00486","6.08","5.99","28.4","5.6 m -   13 m","0"
"(2023 WG1)","2023-Nov-10 03:23 ±    00:04","0.01931","0.01921","7.58","7.56","26.7","12 m -   27 m","0"
"(2023 VT3)","2023-Nov-10 09:46 ± < 00:01","0.02835","0.02827","7.50","7.49","26.3","15 m -   33 m","0"
"(2023 VD4)","2023-Nov-10 16:24 ± < 00:01","0.00097","0.00096","15.57","15.39","28.2","6.1 m -   14 m","1"
"(2023 VY3)","2023-Nov-11 00:36 ± < 00:01","0.00884","0.00877","16.09","16.08","27.6","8.0 m -   18 m","0"
"(2023 VD1)","2023-Nov-11 08:09 ± < 00:01","0.04390","0.04374","9.98","9.98","25.1","25 m -   56 m","0"
"(2023 VQ5)","2023-Nov-11 14:30 ± < 00:01","0.00884","0.00883","6.78","6.74","27.7","7.6 m -   17 m","0"
"(2023 VL2)","2023-Nov-11 15:12 ± < 00:01","0.00683","0.00682","5.95","5.88","28.2","6.1 m -   14 m","0"
"(2023 VK3)","2023-Nov-11 16:46 ± < 00:01","0.01894","0.01888","3.70","3.66","28.2","6.1 m -   14 m","0"
"(2023 VU4)","2023-Nov-11 22:16 ± < 00:01","0.03163","0.03152","5.28","5.26","26.5","13 m -   30 m","0"
"(2023 UQ4)","2023-Nov-11 23:00 ± < 00:01","0.02732","0.02731","8.40","8.39","24.7","30 m -   67 m","0"
"(2023 VF3)","2023-Nov-12 00:04 ± < 00:01","0.02276","0.02263","9.04","9.02","26.4","14 m -   31 m","0"
"(2023 VK9)","2023-Nov-12 00:13 ± < 00:01","0.01834","0.01822","12.69","12.68","26.4","14 m -   31 m","0"
"(2023 VV7)","2023-Nov-12 04:02 ± < 00:01","0.01511","0.01508","7.04","7.02","26.7","12 m -   28 m","0"
"(2023 VR3)","2023-Nov-12 13:56 ± < 00:01","0.01520","0.01518","7.73","7.70","26.5","13 m -   30 m","0"
"(2023 VK1)","2023-Nov-12 17:19 ± < 00:01","0.02574","0.02569","9.10","9.08","25.6","20 m -   44 m","0"
"(2023 WD)","2023-Nov-12 17:49 ± < 00:01","0.02105","0.02098","10.10","10.08","26.6","13 m -   29 m","0"
"(2023 VN7)","2023-Nov-12 20:20 ± < 00:01","0.01459","0.01458","4.94","4.90","25.5","21 m -   47 m","0"
"(2023 TZ2)","2023-Nov-12 21:39 ± < 00:01","0.04865","0.04864","2.78","2.76","25.9","18 m -   39 m","0"
"(2023 VY1)","2023-Nov-13 10:43 ± < 00:01","0.02267","0.02265","6.31","6.29","25.0","26 m -   58 m","0"
"(2023 VG7)","2023-Nov-13 13:10 ± < 00:01","0.01255","0.01250","9.97","9.94","28.1","6.4 m -   14 m","0"
"(2014 BA3)","2023-Nov-13 15:24 ± 1_11:30","0.04015","0.03796","2.72","2.69","28.3","5.8 m -   13 m","0"
"(2023 VQ7)","2023-Nov-13 16:13 ± < 00:01","0.01484","0.01482","12.35","12.33","24.9","27 m -   61 m","0"
"(2023 VV1)","2023-Nov-13 17:38 ± < 00:01","0.00512","0.00512","3.66","3.52","28.9","4.3 m -  9.7 m","0"
"(2023 VP4)","2023-Nov-13 17:54 ± < 00:01","0.00780","0.00778","5.71","5.65","28.5","5.3 m -   12 m","0"
"(2023 VX)","2023-Nov-13 23:39 ± < 00:01","0.04462","0.04417","11.12","11.12","24.2","39 m -   87 m","0"
"(2023 WE)","2023-Nov-14 01:49 ±    00:02","0.00768","0.00766","10.83","10.80","27.4","8.8 m -   20 m","0"
"(2023 VY20)","2023-Nov-14 05:43 ±    00:01","0.01086","0.01081","3.65","3.58","28.4","5.4 m -   12 m","0"
"(2023 VR4)","2023-Nov-14 07:03 ± < 00:01","0.04593","0.04588","10.53","10.52","23.0","68 m -  150 m","0"
"(2023 WT)","2023-Nov-14 11:10 ± < 00:01","0.03743","0.03719","13.36","13.35","24.4","34 m -   77 m","0"
"(2023 UO)","2023-Nov-15 00:21 ± < 00:01","0.01645","0.01645","6.80","6.78","25.0","26 m -   59 m","0"
"(2023 XN)","2023-Nov-15 03:03 ± < 00:01","0.04534","0.04534","13.88","13.87","23.6","51 m -  110 m","0"
"(2023 VL6)","2023-Nov-15 09:38 ± < 00:01","0.02245","0.02240","5.06","5.04","26.6","12 m -   28 m","0"
"(2023 WC)","2023-Nov-15 21:48 ± < 00:01","0.03080","0.03069","9.10","9.09","25.1","26 m -   57 m","0"
"(2021 TN3)","2023-Nov-15 22:03 ± < 00:01","0.04363","0.04363","6.26","6.25","25.3","24 m -   53 m","0"
"(2023 XE3)","2023-Nov-16 00:15 ± < 00:01","0.01446","0.01445","2.54","2.47","27.5","8.3 m -   19 m","0"
"(2019 VL5)","2023-Nov-16 01:20 ± < 00:01","0.02186","0.02186","8.22","8.21","25.9","18 m -   40 m","0"
"(2023 WA)","2023-Nov-17 03:41 ± < 00:01","0.00018","0.00018","17.95","17.12","28.5","5.3 m -   12 m","2"
"(2023 WU)","2023-Nov-17 05:33 ± < 00:01","0.00498","0.00498","9.17","9.12","27.2","9.8 m -   22 m","0"
"(2023 VG5)","2023-Nov-17 06:11 ± < 00:01","0.01470","0.01462","23.29","23.28","25.7","19 m -   43 m","0"
"(2023 VX4)","2023-Nov-17 06:24 ± < 00:01","0.01801","0.01794","3.94","3.91","27.6","8.2 m -   18 m","0"
"(2023 VX7)","2023-Nov-17 06:32 ± < 00:01","0.00640","0.00639","10.82","10.78","27.0","10 m -   23 m","0"
"(2023 VK4)","2023-Nov-17 14:32 ± < 00:01","0.03144","0.03124","11.86","11.85","25.8","18 m -   41 m","0"
"(2023 VR9)","2023-Nov-17 15:33 ± < 00:01","0.00835","0.00834","7.74","7.70","27.6","7.9 m -   18 m","0"
"(2023 VW7)","2023-Nov-17 23:19 ± < 00:01","0.01876","0.01872","10.07","10.05","26.4","14 m -   31 m","0"
"(2023 XC10)","2023-Nov-18 02:36 ±    00:21","0.04301","0.04240","10.51","10.50","24.6","31 m -   70 m","0"
"(2023 WB)","2023-Nov-18 11:49 ± < 00:01","0.00446","0.00446","12.60","12.56","26.5","13 m -   29 m","0"
"(2019 LB1)","2023-Nov-18 18:40 ±    06:19","0.04033","0.04019","4.16","4.15","27.0","11 m -   24 m","0"
"(2023 WA2)","2023-Nov-18 21:48 ± < 00:01","0.01012","0.01009","12.98","12.96","25.0","26 m -   59 m","1"
"(2016 DK1)","2023-Nov-19 06:11 ± 9_17:29","0.01352","0.01301","6.75","6.72","27.5","8.4 m -   19 m","0"
"(2023 WY1)","2023-Nov-19 08:52 ± < 00:01","0.00453","0.00452","8.24","8.17","27.7","7.5 m -   17 m","0"
"(2021 WB2)","2023-Nov-19 09:44 ± < 00:01","0.02819","0.02819","16.25","16.25","24.6","32 m -   72 m","0"
"(2023 WE2)","2023-Nov-19 10:07 ± < 00:01","0.00162","0.00162","7.26","7.03","27.0","10 m -   23 m","1"
"(2023 VT7)","2023-Nov-19 16:57 ± < 00:01","0.03837","0.03824","10.60","10.59","24.1","41 m -   92 m","0"
"(2022 VR1)","2023-Nov-19 18:09 ± < 00:01","0.02077","0.02077","6.08","6.06","24.8","29 m -   65 m","0"
